actual_tx_ratio,alpha,base_tx_ratio,calibrated_intercept,dynamic_repeat_index,mean_VAoI,mean_tail_VAoI,phase,search_probability_mean,topology_index
0.071,0.5,0.07500000000000001,-2.51800537109375,0,8.56739838383838,21.657612121212118,coarse,0.07379315404597057,19
0.07428,0.5,0.07500000000000001,-2.51800537109375,1,9.110425252525255,22.797882828282805,coarse,0.07379315404597057,19
0.10056,0.5,0.1,-2.2025909423828125,0,9.050062424242421,23.571858585858582,coarse,0.09936044075009715,0
0.09954,0.5,0.1,-2.2025909423828125,1,9.517418585858595,24.7807070707071,coarse,0.09936044075009715,0
0.1001,0.5,0.1,-2.2025909423828125,0,8.079334141414144,20.846642424242418,coarse,0.10224184034578421,1
0.10432000000000001,0.5,0.1,-2.2025909423828125,1,7.450228686868691,19.548589898989903,coarse,0.10224184034578421,1
0.09926,0.5,0.1,-2.2025909423828125,0,7.189691919191929,19.034456565656587,coarse,0.09897851163214451,2
0.09795999999999999,0.5,0.1,-2.2025909423828125,1,7.612130101010106,20.2054505050505,coarse,0.09897851163214451,2
0.10039999999999999,0.5,0.1,-2.2025909423828125,0,8.132378181818183,21.947717171717155,coarse,0.10032530917461235,3
0.09881999999999999,0.5,0.1,-2.2025909423828125,1,7.837473939393939,20.76422222222222,coarse,0.10032530917461235,3
0.10208,0.5,0.1,-2.2025909423828125,0,7.684275959595955,19.73607272727274,coarse,0.10027194643977826,4
0.10099999999999999,0.5,0.1,-2.2025909423828125,1,7.68563595959597,19.21327676767678,coarse,0.10027194643977826,4
0.09824,0.5,0.1,-2.2025909423828125,0,8.261094141414148,21.26779393939394,coarse,0.09763779787527527,5
0.09954,0.5,0.1,-2.2025909423828125,1,8.151215353535356,20.762614141414147,coarse,0.09763779787527527,5
0.10112,0.5,0.1,-2.2025909423828125,0,7.429158585858578,18.91011313131314,coarse,0.10181470326999001,6
0.10122,0.5,0.1,-2.2025909423828125,1,7.268576363636365,18.480432323232332,coarse,0.10181470326999001,6
0.10018,0.5,0.1,-2.2025909423828125,0,7.569940606060607,19.427535353535344,coarse,0.10013277934731729,7
0.09988,0.5,0.1,-2.2025909423828125,1,7.696064646464645,19.62988282828281,coarse,0.10013277934731729,7
0.0968,0.5,0.1,-2.2025909423828125,0,7.720276767676775,19.978424242424236,coarse,0.09919831295281475,8
0.09534000000000001,0.5,0.1,-2.2025909423828125,1,7.709255353535354,20.85368080808081,coarse,0.09919831295281475,8
0.09958,0.5,0.1,-2.2025909423828125,0,9.322928888888898,23.293725252525235,coarse,0.09943175484830594,9
0.09838,0.5,0.1,-2.2025909423828125,1,9.782030101010111,24.723882828282843,coarse,0.09943175484830594,9
0.10298,0.5,0.1,-2.2025909423828125,0,7.125125454545454,18.430395959595938,coarse,0.10193220911900612,10
0.10276,0.5,0.1,-2.2025909423828125,1,7.046225252525256,18.736282828282842,coarse,0.10193220911900612,10
0.10098000000000001,0.5,0.1,-2.2025909423828125,0,8.343708484848488,22.108,coarse,0.09962238965702735,11
0.10135999999999999,0.5,0.1,-2.2025909423828125,1,8.044608282828278,20.96920808080806,coarse,0.09962238965702735,11
0.10135999999999999,0.5,0.1,-2.2025909423828125,0,8.238539595959589,20.915547474747477,coarse,0.10147892162373826,12
0.09928000000000001,0.5,0.1,-2.2025909423828125,1,8.128488888888892,21.37234343434342,coarse,0.10147892162373826,12
0.09878,0.5,0.1,-2.2025909423828125,0,7.235643434343437,18.229927272727274,coarse,0.09940074746517111,13
0.09978,0.5,0.1,-2.2025909423828125,1,7.457743030303034,19.259119191919194,coarse,0.09940074746517111,13
0.0987,0.5,0.1,-2.2025909423828125,0,8.293832121212125,21.60012121212121,coarse,0.10023493044058705,14
0.10304,0.5,0.1,-2.2025909423828125,1,7.649124242424239,19.493599999999997,coarse,0.10023493044058705,14
0.1012,0.5,0.1,-2.2025909423828125,0,7.099085252525257,18.238149494949486,coarse,0.10070429029372187,15
0.0999,0.5,0.1,-2.2025909423828125,1,7.428629090909092,18.92115151515151,coarse,0.10070429029372187,15
0.10039999999999999,0.5,0.1,-2.2025909423828125,0,7.657653535353534,19.813955555555566,coarse,0.09801330316210521,16
0.09724000000000001,0.5,0.1,-2.2025909423828125,1,7.71397919191919,20.222387878787885,coarse,0.09801330316210521,16
0.09792,0.5,0.1,-2.2025909423828125,0,7.132705454545454,18.33888888888888,coarse,0.10054224334748313,17
0.0989,0.5,0.1,-2.2025909423828125,1,6.86335212121212,17.69349090909091,coarse,0.10054224334748313,17
0.10074,0.5,0.1,-2.2025909423828125,0,7.394767474747476,19.23255353535355,coarse,0.10088380559436454,18
0.09842000000000001,0.5,0.1,-2.2025909423828125,1,7.898192121212121,20.212488888888874,coarse,0.10088380559436454,18
0.09576000000000001,0.5,0.1,-2.2025909423828125,0,7.652929898989895,19.539943434343424,coarse,0.09844143804717616,19
0.09744,0.5,0.1,-2.2025909423828125,1,7.869528484848485,20.168727272727264,coarse,0.09844143804717616,19
0.12401999999999999,0.5,0.125,-1.950927734375,0,8.856760606060611,23.03957575757574,coarse,0.12422186536954571,0
0.12388,0.5,0.125,-1.950927734375,1,8.586565050505055,22.310804040404054,coarse,0.12422186536954571,0
0.12526,0.5,0.125,-1.950927734375,0,7.616381212121215,19.65455757575758,coarse,0.1277203257062689,1
0.13046,0.5,0.125,-1.950927734375,1,7.165713333333337,18.54862222222222,coarse,0.1277203257062689,1
0.12426,0.5,0.125,-1.950927734375,0,6.997265858585853,18.22058181818182,coarse,0.12375405525550548,2
0.12252,0.5,0.125,-1.950927734375,1,7.51360747474748,20.143183838383848,coarse,0.12375405525550548,2
0.1261,0.5,0.125,-1.950927734375,0,8.375688484848482,22.721389898989877,coarse,0.1253900790404457,3
0.12494,0.5,0.125,-1.950927734375,1,7.688887474747475,20.54048888888889,coarse,0.1253900790404457,3
0.12664,0.5,0.125,-1.950927734375,0,7.422084040404041,18.72707474747472,coarse,0.12531546353049028,4
0.12465999999999999,0.5,0.125,-1.950927734375,1,7.624316161616165,19.546408080808053,coarse,0.12531546353049028,4
0.12326000000000001,0.5,0.125,-1.950927734375,0,7.790673939393934,20.161167676767676,coarse,0.12212989057696925,5
0.12312,0.5,0.125,-1.950927734375,1,7.784943030303032,20.073333333333334,coarse,0.12212989057696925,5
0.12586,0.5,0.125,-1.950927734375,0,7.109488888888899,18.285898989898996,coarse,0.12718437638106267,6
0.12628,0.5,0.125,-1.950927734375,1,7.21827575757576,18.494711111111116,coarse,0.12718437638106267,6
0.12428,0.5,0.125,-1.950927734375,0,7.6727165656565655,19.707656565656578,coarse,0.12516906718483592,7
0.12448000000000001,0.5,0.125,-1.950927734375,1,7.612129494949497,19.7132323232323,coarse,0.12516906718483592,7
0.1219,0.5,0.125,-1.950927734375,0,7.4081381818181775,19.444484848484844,coarse,0.12402686038233629,8
0.12061999999999999,0.5,0.125,-1.950927734375,1,7.173952929292936,18.902278787878775,coarse,0.12402686038233629,8
0.12486000000000001,0.5,0.125,-1.950927734375,0,9.02894808080809,23.056577777777775,coarse,0.12431556052856545,9
0.1222,0.5,0.125,-1.950927734375,1,9.55067111111111,24.58194343434341,coarse,0.12431556052856545,9
0.12752,0.5,0.125,-1.950927734375,0,6.948547676767678,18.025325252525253,coarse,0.1273623213634004,10
0.1276,0.5,0.125,-1.950927734375,1,6.9359860606060675,18.264452525252523,coarse,0.1273623213634004,10
0.12648,0.5,0.125,-1.950927734375,0,8.010662626262619,21.303620202020205,coarse,0.12454669609482799,11
0.12724,0.5,0.125,-1.950927734375,1,8.054269696969698,21.148525252525246,coarse,0.12454669609482799,11
0.1285,0.5,0.125,-1.950927734375,0,7.864787676767677,20.39808080808082,coarse,0.1267856115676951,12
0.12544,0.5,0.125,-1.950927734375,1,8.151517171717176,20.918836363636373,coarse,0.1267856115676951,12
0.12452,0.5,0.125,-1.950927734375,0,7.072157979797979,17.868218181818193,coarse,0.1242614339833003,13
0.12486000000000001,0.5,0.125,-1.950927734375,1,7.093489292929293,18.235939393939407,coarse,0.1242614339833003,13
0.12474,0.5,0.125,-1.950927734375,0,8.225998989898994,21.70863030303028,coarse,0.12525925877070906,14
0.12866,0.5,0.125,-1.950927734375,1,7.8243723232323195,20.21201616161618,coarse,0.12525925877070906,14
0.12644,0.5,0.125,-1.950927734375,0,7.007235757575757,17.917406060606073,coarse,0.1258680112279187,15
0.12374,0.5,0.125,-1.950927734375,1,7.413971919191922,19.005434343434327,coarse,0.1258680112279187,15
0.12522,0.5,0.125,-1.950927734375,0,7.658670101010098,20.493397979797965,coarse,0.12258088362994558,16
0.12346,0.5,0.125,-1.950927734375,1,7.169239191919196,18.587216161616173,coarse,0.12258088362994558,16
0.12416,0.5,0.125,-1.950927734375,0,6.957416161616159,18.08216565656568,coarse,0.12567657183099956,17
0.12266,0.5,0.125,-1.950927734375,1,6.643851313131313,17.446585858585856,coarse,0.12567657183099956,17
0.12686,0.5,0.125,-1.950927734375,0,7.111186666666671,18.44131313131313,coarse,0.12605949841861433,18
0.12401999999999999,0.5,0.125,-1.950927734375,1,8.039764646464649,20.905014141414146,coarse,0.12605949841861433,18
0.12125999999999999,0.5,0.125,-1.950927734375,0,7.145893131313129,18.326690909090928,coarse,0.12311614209947772,19
0.12168,0.5,0.125,-1.950927734375,1,7.331651919191917,18.674876767676768,coarse,0.12311614209947772,19
0.14794000000000002,0.5,0.15000000000000002,-1.739288330078125,0,8.900825656565667,22.988117171717164,coarse,0.14908970499361376,0
0.14894,0.5,0.15000000000000002,-1.739288330078125,1,8.91544909090909,23.62032323232323,coarse,0.14908970499361376,0
0.14976,0.5,0.15000000000000002,-1.739288330078125,0,7.508742424242417,19.205301010100992,coarse,0.1531641229291791,1
0.15542,0.5,0.15000000000000002,-1.739288330078125,1,7.290892727272724,18.726371717171723,coarse,0.1531641229291791,1
0.1491,0.5,0.15000000000000002,-1.739288330078125,0,6.966541818181808,17.970610101010088,coarse,0.14854003181020464,2
0.14744,0.5,0.15000000000000002,-1.739288330078125,1,7.288437777777783,18.998218181818185,coarse,0.14854003181020464,2
0.15098,0.5,0.15000000000000002,-1.739288330078125,0,8.57332383838384,22.807870707070695,coarse,0.15044635129913383,3
0.15072,0.5,0.15000000000000002,-1.739288330078125,1,8.47854646464647,22.656703030303024,coarse,0.15044635129913383,3
0.15192,0.5,0.15000000000000002,-1.739288330078125,0,7.463169090909096,18.80513939393939,coarse,0.15034815550697883,4
0.14980000000000002,0.5,0.15000000000000002,-1.739288330078125,1,7.782923434343433,19.82055757575757,coarse,0.15034815550697883,4
0.14944000000000002,0.5,0.15000000000000002,-1.739288330078125,0,7.756875959595958,19.904917171717184,coarse,0.14665266127181942,5
0.14798,0.5,0.15000000000000002,-1.739288330078125,1,7.514772323232317,19.18963232323234,coarse,0.14665266127181942,5
0.15126,0.5,0.15000000000000002,-1.739288330078125,0,7.348222626262626,18.64305454545454,coarse,0.15251990790471429,6
0.15186,0.5,0.15000000000000002,-1.739288330078125,1,7.491750909090911,19.602650505050494,coarse,0.15251990790471429,6
0.14922000000000002,0.5,0.15000000000000002,-1.739288330078125,0,8.439034545454538,21.951353535353547,coarse,0.1502037728115259,7
0.14882,0.5,0.15000000000000002,-1.739288330078125,1,8.320439191919197,22.303745454545442,coarse,0.1502037728115259,7
0.14546,0.5,0.15000000000000002,-1.739288330078125,0,8.003077373737373,21.202517171717176,coarse,0.14886466214941266,8
0.14442,0.5,0.15000000000000002,-1.739288330078125,1,7.456125252525254,19.737834343434344,coarse,0.14886466214941266,8
0.15073999999999999,0.5,0.15000000000000002,-1.739288330078125,0,9.499658585858585,24.272460606060587,coarse,0.14920688961650563,9
0.1467,0.5,0.15000000000000002,-1.739288330078125,1,9.03384060606061,22.859369696969694,coarse,0.14920688961650563,9
0.15326,0.5,0.15000000000000002,-1.739288330078125,0,7.232408888888891,18.814509090909095,coarse,0.15276792802172012,10
0.15336,0.5,0.15000000000000002,-1.739288330078125,1,7.0765331313131306,18.719450505050506,coarse,0.15276792802172012,10
0.1519,0.5,0.15000000000000002,-1.739288330078125,0,8.404714343434343,22.555381818181832,coarse,0.1494757918066634,11
0.15334,0.5,0.15000000000000002,-1.739288330078125,1,8.257225656565652,21.674848484848496,coarse,0.1494757918066634,11
0.15414,0.5,0.15000000000000002,-1.739288330078125,0,8.073014141414141,20.584222222222223,coarse,0.15206568925921216,12
0.14996,0.5,0.15000000000000002,-1.739288330078125,1,8.126410707070706,20.356206060606063,coarse,0.15206568925921216,12
0.1492,0.5,0.15000000000000002,-1.739288330078125,0,7.156306666666663,18.043074747474765,coarse,0.14912480307704518,13
0.14964,0.5,0.15000000000000002,-1.739288330078125,1,7.235469292929299,18.217082828282816,coarse,0.14912480307704518,13
0.15018,0.5,0.15000000000000002,-1.739288330078125,0,9.018629696969692,23.617179797979805,coarse,0.15026968677736766,14
0.1531,0.5,0.15000000000000002,-1.739288330078125,1,8.802636767676766,22.902565656565645,coarse,0.15026968677736766,14
0.15252000000000002,0.5,0.15000000000000002,-1.739288330078125,0,7.302552323232324,18.448537373737388,coarse,0.1510237204837277,15
0.14958,0.5,0.15000000000000002,-1.739288330078125,1,7.400024242424246,19.08501818181818,coarse,0.1510237204837277,15
0.14952,0.5,0.15000000000000002,-1.739288330078125,0,8.215127878787879,21.314282828282824,coarse,0.14717243880321917,16
0.14812,0.5,0.15000000000000002,-1.739288330078125,1,7.987423030303027,20.8084282828283,coarse,0.14717243880321917,16
0.1503,0.5,0.15000000000000002,-1.739288330078125,0,7.090778585858582,18.038945454545445,coarse,0.15080685106652136,17
0.14782,0.5,0.15000000000000002,-1.739288330078125,1,6.740094747474753,17.52109494949494,coarse,0.15080685106652136,17
0.15109999999999998,0.5,0.15000000000000002,-1.739288330078125,0,7.7459844444444395,19.99682020202021,coarse,0.1512159324147907,18
0.15,0.5,0.15000000000000002,-1.739288330078125,1,8.868219595959603,23.898359595959587,coarse,0.1512159324147907,18
0.14612,0.5,0.15000000000000002,-1.739288330078125,0,7.5827036363636395,19.7296282828283,coarse,0.1478135242865325,19
0.1457,0.5,0.15000000000000002,-1.739288330078125,1,7.672677373737366,20.25246060606062,coarse,0.1478135242865325,19
0.172,0.5,0.17500000000000004,-1.554931640625,0,9.63752404040403,25.73019393939394,coarse,0.17396903221972984,0
0.1732,0.5,0.17500000000000004,-1.554931640625,1,9.252416969696963,24.72138585858585,coarse,0.17396903221972984,0
0.17462,0.5,0.17500000000000004,-1.554931640625,0,8.069583030303031,20.21608484848484,coarse,0.17857854562601655,1
0.18123999999999998,0.5,0.17500000000000004,-1.554931640625,1,7.871410505050507,19.834509090909098,coarse,0.17857854562601655,1
0.17482,0.5,0.17500000000000004,-1.554931640625,0,7.747988484848478,19.76833131313132,coarse,0.1733415924701883,2
0.1725,0.5,0.17500000000000004,-1.554931640625,1,7.717890101010093,19.973353535353507,coarse,0.1733415924701883,2
0.17622,0.5,0.17500000000000004,-1.554931640625,0,9.742746262626266,25.69089696969696,coarse,0.1754993696706727,3
0.17736000000000002,0.5,0.17500000000000004,-1.554931640625,1,9.577932929292928,25.272335353535343,coarse,0.1754993696706727,3
