topology,topology_label,node_count,model,policy,n_scenarios,mean_vaoi,std_vaoi,ci95_vaoi,mean_actual_tx_ratio,std_actual_tx_ratio,ci95_actual_tx_ratio,mean_action_probability,std_action_probability,ci95_action_probability,model_label
community,Community topology,70,v33_random_trained,nn,5,5.496812215320911,0.43547498832454057,0.3817106571466832,0.09545714285714288,0.00214261903439006,0.0018780883898262045,0.09528239071369171,0.0020637287178120953,0.0018089379784573599,V3.3 single-N MPNN (curv bmax=1)
community,Community topology,80,v33_random_trained,nn,5,5.357013607594937,0.2747977615673616,0.24087085817232465,0.0982125,0.0032833624152688325,0.002877994049681129,0.0974776104092598,0.000924570465648138,0.0008104217451817252,V3.3 single-N MPNN (curv bmax=1)
community,Community topology,90,v33_random_trained,nn,5,6.223467790262173,0.2646029399506292,0.2319347030241535,0.09614444444444444,0.0029119273664798564,0.0025524168745004335,0.09621668159961701,0.002341465021802556,0.0020523845826299087,V3.3 single-N MPNN (curv bmax=1)
community,Community topology,100,v33_random_trained,nn,5,6.476774848484847,0.3509636150130514,0.3076331723129134,0.09664999999999999,0.002991446138575792,0.0026221181514188125,0.09759954363107681,0.0034733246123128305,0.0030445032568934,V3.3 single-N MPNN (curv bmax=1)
community,Community topology,110,v33_random_trained,nn,5,6.610729858215182,0.4966981520958547,0.43537512629486536,0.09766363636363636,0.004015028585882616,0.0035193277250582457,0.09771899729967118,0.0026061065470807335,0.0022843531071848723,V3.3 single-N MPNN (curv bmax=1)
community,Community topology,120,v33_random_trained,nn,5,6.656871078431372,0.3497582287837006,0.30657660469810905,0.098925,0.0024493834258169306,0.002146979234490484,0.09845608621835708,0.002649391240824307,0.002322293814082461,V3.3 single-N MPNN (curv bmax=1)
community,Community topology,130,v33_random_trained,nn,5,6.71605181872391,0.2576979812357231,0.22588223985335645,0.09996153846153846,0.002298539541462937,0.002014758740163471,0.0992969274520874,0.0022877353247320376,0.0020052884266463294,V3.3 single-N MPNN (curv bmax=1)
community,Community topology,140,v33_random_trained,nn,5,7.069370246659815,0.4599872351734945,0.40319658883900544,0.09917857142857142,0.002217307845481237,0.001943556019259541,0.0992080494761467,0.0012749371036726233,0.0011175316440926834,V3.3 single-N MPNN (curv bmax=1)
community,Community topology,150,v33_random_trained,nn,5,7.5532970917225954,0.33023026973951025,0.2894595938953296,0.09849333333333335,0.0012880648706921195,0.0011290386392364459,0.09866699874401093,0.0016593588218616858,0.0014544921369007038,V3.3 single-N MPNN (curv bmax=1)
community,Community topology,50,v33_no_curvature,nn,5,4.784676734693878,0.37204491923359184,0.3261117501951743,0.10276,0.003832492661441122,0.003359327932786563,0.10124081373214722,0.0008196761255906826,0.0007184778022509331,V3.3 single-N MPNN (no curvature)
community,Community topology,60,v33_no_curvature,nn,5,5.510495480225989,0.4110776389614944,0.36032543754122287,0.10043333333333333,0.002092811771543515,0.001834430399030959,0.10111425220966339,0.0005492315536531954,0.00048142268302769616,V3.3 single-N MPNN (no curvature)
community,Community topology,70,v33_no_curvature,nn,5,5.706120289855071,0.3287142964166128,0.2881307846897162,0.1006142857142857,0.00271503748987534,0.0023798352884180896,0.10040721148252488,0.0008716488243254503,0.0007640338812901958,V3.3 single-N MPNN (no curvature)
community,Community topology,80,v33_no_curvature,nn,5,5.5284291139240525,0.5251727224799833,0.4603341876983988,0.10089999999999999,0.0020389756925966525,0.0017872409952214051,0.10072309076786042,0.000737691698389894,0.0006466152833425335,V3.3 single-N MPNN (no curvature)
community,Community topology,90,v33_no_curvature,nn,5,6.63513495630462,0.7764143112322466,0.6805571500186408,0.10024444444444444,0.0023427719152562783,0.0020535301252498426,0.1001478374004364,0.0008691399091575533,0.0007618347201830381,V3.3 single-N MPNN (no curvature)
community,Community topology,100,v33_no_curvature,nn,5,6.603757474747477,0.4897614687758659,0.4292948552816469,0.09953000000000001,0.0017469974241537997,0.001531310758794572,0.10052403807640076,0.0005589907993908137,0.0004899770390840444,V3.3 single-N MPNN (no curvature)
community,Community topology,110,v33_no_curvature,nn,5,6.933854545454546,0.6128019924374157,0.5371446294402504,0.10025454545454546,0.002121466434971515,0.0018595473189475344,0.10005150139331817,0.00044875564434178637,0.00039335166540570163,V3.3 single-N MPNN (no curvature)
community,Community topology,120,v33_no_curvature,nn,5,6.829071638655461,0.2534669446742587,0.2221735727896017,0.10021666666666666,0.001377018720118049,0.001207010126073696,0.09995674639940262,0.0005475857238284384,0.00047998004957961534,V3.3 single-N MPNN (no curvature)
community,Community topology,130,v33_no_curvature,nn,5,6.888830351818721,0.21130543339505128,0.18521737872986443,0.09996923076923078,0.0008128953294047401,0.0007125341723353044,0.09995303303003311,0.0002323940297227072,0.00020370234842583131,V3.3 single-N MPNN (no curvature)
community,Community topology,140,v33_no_curvature,nn,5,7.083503134635149,0.5315804302184116,0.465950791170965,0.09985714285714284,0.0017505465618789255,0.0015344217151748091,0.09965939372777939,0.0005502554256493984,0.0004823201464021333,V3.3 single-N MPNN (no curvature)
community,Community topology,150,v33_no_curvature,nn,5,7.79210970917226,0.412553593015324,0.3616191683108664,0.09963333333333332,0.0014487542541400515,0.001269889094020071,0.09956231415271759,0.00045061923641778436,0.0003949851758828921,V3.3 single-N MPNN (no curvature)
