node_i,node_j,edge_curvature,is_inter_cluster
40,43,0.22023809523809545,False
40,48,0.34523809523809534,False
41,42,0.21111111111111136,False
41,44,0.12698412698412698,False
41,46,0.21111111111111125,False
42,46,0.5333333333333333,False
43,48,0.29166666666666674,False
47,49,0.25874125874125886,False
50,65,0.39583333333333326,False
50,72,0.04166666666666663,False
50,73,0.41666666666666663,False
50,76,0.3833333333333333,False
50,79,0.2777777777777777,False
50,86,0.38888888888888884,False
51,68,0.27083333333333326,False
51,80,0.33333333333333326,False
51,82,0.4642857142857142,False
51,83,-0.02083333333333348,False
51,91,0.21969696969696972,False
51,94,0.41666666666666663,False
52,54,0.26250000000000007,False
52,56,0.17708333333333315,False
52,59,0.33888888888888924,False
52,60,0.16923076923076918,False
52,62,0.43333333333333335,False
52,67,0.3142857142857144,False
52,69,0.31372549019607854,False
52,74,0.1692307692307693,False
52,77,0.2999999999999998,False
52,81,0.2999999999999998,False
52,84,0.25454545454545463,False
52,90,0.33333333333333337,False
52,92,0.3142857142857144,False
52,96,0.033333333333333326,False
52,99,0.41666666666666674,False
53,55,0.625,False
53,63,0.29166666666666674,False
53,66,0.33333333333333326,False
53,83,0.1875,False
54,56,0.375,False
54,58,0.25,False
54,59,0.35416666666666663,False
54,62,0.2958333333333335,False
54,67,0.2767857142857145,False
54,69,0.09926470588235281,False
54,75,0.20625000000000004,False
54,77,0.26644736842105243,False
54,81,0.21691176470588225,False
54,84,0.2982954545454549,False
54,85,-0.20138888888888906,False
54,87,0.1840277777777778,False
54,90,0.22916666666666685,False
54,92,0.2767857142857144,False
54,99,0.3125,False
55,63,0.29166666666666674,False
55,66,0.33333333333333326,False
55,83,0.1875,False
56,58,0.25,False
56,59,0.2569444444444443,False
56,62,0.24583333333333324,False
56,67,0.24553571428571452,False
56,75,0.16249999999999987,False
56,77,0.16940789473684226,False
56,79,-0.5520833333333335,False
56,84,0.3210227272727274,False
56,85,-0.13888888888888928,False
56,87,0.14583333333333315,False
56,90,0.19791666666666674,False
56,92,0.24553571428571452,False
56,97,-0.09999999999999987,False
56,99,0.21875,False
57,61,0.19999999999999996,False
57,64,0.11250000000000004,False
57,70,0.11250000000000004,False
57,72,0.07499999999999996,False
58,59,0.14583333333333326,False
58,75,0.36249999999999993,False
58,77,0.06250000000000022,False
58,84,0.08522727272727271,False
58,85,-0.01388888888888884,False
58,87,0.3402777777777777,False
59,60,0.10256410256410253,False
59,62,0.3611111111111115,False
59,67,0.23809523809523825,False
59,69,0.23692810457516356,False
59,74,0.10256410256410275,False
59,75,0.12777777777777766,False
59,77,0.4020467836257311,False
59,78,0.07222222222222197,False
59,81,0.3709150326797387,False
59,84,0.26010101010100994,False
59,87,0.11111111111111094,False
59,90,0.21666666666666667,False
59,92,0.23809523809523836,False
59,99,0.44097222222222243,False
60,62,0.07948717948717965,False
60,69,0.35746606334841624,False
60,71,0.3221153846153849,False
60,74,0.5384615384615384,False
60,77,0.19028340080971673,False
60,78,0.40000000000000024,False
60,81,0.2398190045248868,False
60,89,0.2451923076923077,False
60,93,0.262820512820513,False
60,96,0.14743589743589725,False
60,99,0.14423076923076916,False
61,64,0.16666666666666652,False
61,70,0.16666666666666663,False
61,72,0.04166666666666685,False
61,98,-0.23809523809523792,False
62,67,0.38095238095238104,False
62,69,0.2333333333333335,False
62,74,0.07948717948717987,False
62,77,0.29999999999999993,False
62,81,0.27647058823529425,False
62,84,0.3303030303030303,False
62,90,0.3666666666666667,False
62,92,0.38095238095238104,False
62,97,-0.11666666666666647,False
62,99,0.4187500000000002,False
63,66,0.2499999999999999,False
63,83,0.08333333333333337,False
63,90,-0.4500000000000004,False
63,96,-0.5,False
64,65,0.0625,False
64,70,0.5625,False
64,72,0.375,False
64,79,0.05555555555555558,False
64,86,0.0,False
64,98,-0.2589285714285712,False
65,70,0.0625,False
65,72,0.1875,False
65,73,0.27083333333333326,False
65,76,0.23750000000000004,False
65,79,0.3958333333333335,False
65,86,0.4722222222222223,False
66,82,-0.08333333333333304,False
66,83,0.375,False
66,91,-0.13636363636363602,False
67,69,0.12605042016806722,False
67,77,0.18045112781954886,False
67,81,0.16806722689075626,False
67,84,0.3733766233766235,False
67,90,0.46904761904761894,False
67,91,-0.3668831168831168,False
67,92,0.5357142857142857,False
67,97,-0.02857142857142847,False
67,99,0.2857142857142858,False
68,80,0.4722222222222223,False
68,82,0.2053571428571428,False
68,91,0.12500000000000022,False
68,94,0.39583333333333337,False
68,95,0.3125,False
68,97,-0.13750000000000018,False
68,98,-0.1160714285714286,False
69,71,0.2279411764705883,False
69,74,0.35746606334841635,False
69,77,0.29876160990712075,False
69,78,0.2823529411764705,False
69,81,0.3529411764705882,False
69,89,0.16176470588235303,False
69,90,0.14117647058823535,False
69,92,0.12605042016806733,False
69,93,0.14215686274509787,False
69,96,0.12254901960784303,False
69,99,0.29595588235294135,False
70,72,0.375,False
70,79,0.0555555555555558,False
70,86,2.220446049250313e-16,False
70,98,-0.2589285714285714,False
71,74,0.3221153846153847,False
71,77,0.10855263157894757,False
71,78,0.42500000000000004,False
71,81,0.139705882352941,False
71,89,0.375,False
71,93,0.29166666666666663,False
72,79,0.125,False
72,86,0.12500000000000022,False
73,76,0.5,False
73,79,0.2499999999999999,False
73,85,-0.08333333333333348,False
73,86,0.33333333333333337,False
74,77,0.19028340080971673,False
74,78,0.40000000000000024,False
74,81,0.23981900452488691,False
74,89,0.2451923076923075,False
74,93,0.262820512820513,False
74,96,0.14743589743589758,False
74,99,0.14423076923076938,False
75,77,0.11578947368421055,False
75,81,0.06470588235294128,False
75,85,-0.08888888888888902,False
75,87,0.4833333333333335,False
75,88,0.08333333333333315,False
75,99,0.04999999999999993,False
76,85,-0.10000000000000031,False
76,86,0.30000000000000004,False
77,78,0.1657894736842106,False
77,81,0.45510835913312675,False
77,87,0.09356725146198852,False
77,89,0.16118421052631582,False
77,90,0.16140350877192966,False
77,92,0.18045112781954908,False
77,99,0.3914473684210523,False
78,81,0.20294117647058818,False
78,89,0.33750000000000024,False
78,93,0.21666666666666667,False
78,99,0.10000000000000009,False
79,85,-0.16666666666666674,False
79,86,0.4444444444444444,False
80,82,0.2539682539682542,False
80,83,-0.1041666666666663,False
80,91,0.16666666666666674,False
80,94,0.38888888888888895,False
80,95,0.26388888888888884,False
80,97,-0.17222222222222205,False
80,98,-0.15079365079365048,False
81,87,0.039215686274509776,False
81,89,0.19852941176470595,False
81,90,0.14313725490196105,False
81,92,0.16806722689075637,False
81,99,0.3621323529411766,False
82,83,0.06249999999999978,False
82,91,0.2532467532467533,False
82,94,0.2976190476190478,False
83,91,-0.011363636363636465,False
84,90,0.3333333333333335,False
84,92,0.37337662337662336,False
84,97,-0.03181818181818197,False
84,99,0.2642045454545454,False
85,86,-0.22222222222222232,False
85,87,-0.05555555555555558,False
87,88,0.11111111111111116,False
88,89,-0.08333333333333326,False
90,91,-0.3151515151515152,False
90,92,0.46904761904761916,False
90,97,-0.01666666666666683,False
90,99,0.2666666666666666,False
91,92,-0.36688311688311703,False
91,94,0.08333333333333337,False
91,97,-0.045454545454545414,False
92,97,-0.028571428571428248,False
92,99,0.2857142857142857,False
93,96,0.16666666666666663,False
94,95,0.20833333333333337,False
95,98,0.0,False
97,98,-0.3142857142857143,False
