checkpoint_episode,scenario_id,policy,n_nodes,slots,update_probability,target_tx_ratio,matched_rate_probability,policy_probability,mean_VAoI,actual_tx_ratio,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std,topology,model
160,u0.10_s02,matched_random,100,500,0.1,0.1,0.10893957316875458,0.10893957316875458,4.155799191919193,0.10936,0.10893955081701279,2.2351741790771484e-08,0.10893957316875458,0.10893957316875458,0.10893957316875458,0.10893957316875458,0.10893957316875458,2.2351741790771484e-08,2.2351741790771484e-08,0.0,community,curvature
160,u0.10_s03,nn,100,500,0.1,0.1,0.10748890787363052,0.10748890787363052,2.9499561616161625,0.10679999999999999,0.10748890787363052,0.06589462608098984,0.025603681802749634,0.03791923522949219,0.09498178958892822,0.2008083775639534,0.40089190006256104,0.06511038541793823,0.06589462608098984,0.025053750723600388,community,curvature
160,u0.10_s03,matched_random,100,500,0.1,0.1,0.10748890787363052,0.10748890787363052,4.00849272727273,0.10868,0.10748888552188873,2.2351741790771484e-08,0.10748890787363052,0.10748890787363052,0.10748890787363052,0.10748890787363052,0.10748890787363052,7.450580596923828e-09,2.2351741790771484e-08,0.0,community,curvature
160,u0.10_s04,nn,100,500,0.1,0.1,0.1075473502278328,0.1075473502278328,2.8012539393939373,0.107,0.1075473502278328,0.06462942808866501,0.025743722915649414,0.03960256278514862,0.08730804920196533,0.2031246334314346,0.40030717849731445,0.06389942020177841,0.06462942808866501,0.019751321524381638,community,curvature
160,u0.10_s04,matched_random,100,500,0.1,0.1,0.1075473502278328,0.1075473502278328,3.7064343434343416,0.10794000000000001,0.10754738003015518,2.9802322387695312e-08,0.1075473502278328,0.1075473502278328,0.1075473502278328,0.1075473502278328,0.1075473502278328,2.9802322387695312e-08,2.9802322387695312e-08,7.450580596923828e-09,community,curvature
200,u0.10_s00,nn,100,500,0.1,0.1,0.12477068603038788,0.12477068603038788,2.936581616161617,0.12678,0.12477068603038788,0.08036261796951294,0.040541648864746094,0.0419361799955368,0.09475468099117279,0.2315990924835205,0.2319643199443817,0.07931457459926605,0.08036261796951294,0.007192007265985012,community,no_curvature
200,u0.10_s01,nn,100,500,0.1,0.1,0.12541837990283966,0.12541837990283966,2.9863822222222187,0.1268,0.12541837990283966,0.08051303029060364,0.04061369225382805,0.041911241412162785,0.09622202813625336,0.23165591061115265,0.23196455836296082,0.07947910577058792,0.08051303029060364,0.006565208546817303,community,no_curvature
200,u0.10_s02,nn,100,500,0.1,0.1,0.1265546828508377,0.1265546828508377,2.9743622222222177,0.12683999999999998,0.1265546828508377,0.08081766963005066,0.0407254695892334,0.04197978377342224,0.09949414432048798,0.23168360888957976,0.23196515440940857,0.07977510988712311,0.08081766963005066,0.007963798940181732,community,no_curvature
200,u0.10_s03,nn,100,500,0.1,0.1,0.1250505894422531,0.1250505894422531,3.2862408080808065,0.12534,0.1250505894422531,0.08014246821403503,0.04069238901138306,0.042009408026933676,0.09628686308860779,0.2315270036458969,0.23196548223495483,0.0789639875292778,0.08014246821403503,0.007007942069321871,community,no_curvature
200,u0.10_s04,nn,100,500,0.1,0.1,0.1277429163455963,0.1277429163455963,2.802859797979798,0.1259,0.1277429163455963,0.08101862668991089,0.040742725133895874,0.04195805788040161,0.10281263291835785,0.2316915810108185,0.23196491599082947,0.07999469339847565,0.08101862668991089,0.006025813519954681,community,no_curvature
