topology,topology_label,node_count,scenario_id,n_nodes,fixed_training_center,mean_c_kappa,std_c_kappa_nodes,median_c_kappa,p05_c_kappa,p95_c_kappa,mean_delta_c_kappa,mean_abs_delta_c_kappa,rmse_delta_c_kappa
random,Random-geometric topology,90,n090_s00,90,0.42143491589124205,0.38642654636260776,0.263797724577064,0.34523809523809523,0.0,0.806875,-0.03500836952863431,0.23005400092746492,0.266110551141983
random,Random-geometric topology,90,n090_s01,90,0.42143491589124205,0.45336867859847385,0.2064988168234528,0.5,0.09230769230769231,0.7861538461538461,0.03193376270723186,0.17123746955287078,0.20895340760592468
random,Random-geometric topology,90,n090_s02,90,0.42143491589124205,0.3968135470580281,0.21862099879460958,0.4,0.0,0.7471428571428569,-0.024621368833213912,0.17454179983598417,0.22000307479027162
random,Random-geometric topology,90,n090_s03,90,0.42143491589124205,0.40424332758653214,0.20631976901604757,0.4330357142857143,0.053125000000000006,0.7692307692307693,-0.0171915883047099,0.1730629688629089,0.20703477436236128
random,Random-geometric topology,90,n090_s04,90,0.42143491589124205,0.42987440448203224,0.2084726515816728,0.4330357142857143,0.079375,0.75,0.008439488590790124,0.16143505357623988,0.20864340733693848
random,Random-geometric topology,100,n100_s00,100,0.42143491589124205,0.3820079601783915,0.2650918616068148,0.375,0.0,1.0,-0.03942695571285041,0.21832153111345726,0.2680077982577181
random,Random-geometric topology,100,n100_s01,100,0.42143491589124205,0.4315163106714258,0.26903616992522666,0.4375,0.0,0.8571428571428571,0.010081394780183715,0.22641609148310804,0.26922499001532035
random,Random-geometric topology,100,n100_s02,100,0.42143491589124205,0.45434995906289777,0.24186866608408758,0.4494949494949495,0.0,0.85,0.0329150431716557,0.18953839094443775,0.24409803706766633
random,Random-geometric topology,100,n100_s03,100,0.42143491589124205,0.4584401329768176,0.2542984097207385,0.4460227272727273,0.0,1.0,0.03700521708557557,0.20204972781063696,0.2569767835389944
random,Random-geometric topology,100,n100_s04,100,0.42143491589124205,0.41736002986745674,0.20956220383084104,0.4,0.0,0.7692307692307693,-0.0040748860237852,0.16058565923926962,0.2096018176699472
random,Random-geometric topology,110,n110_s00,110,0.42143491589124205,0.4558056148374985,0.2737622403582485,0.4230769230769231,0.0,1.0,0.03437069894625643,0.21477934549148198,0.27591141547971804
random,Random-geometric topology,110,n110_s01,110,0.42143491589124205,0.42684429475920094,0.2102356542207802,0.42857142857142855,0.0,0.7503496503496503,0.005409378867958977,0.15848175734992856,0.21030523456485
random,Random-geometric topology,110,n110_s02,110,0.42143491589124205,0.4429494964310767,0.2256020385417168,0.5,0.0,0.7692307692307693,0.021514580539834554,0.18770975061125583,0.2266255876329575
random,Random-geometric topology,110,n110_s03,110,0.42143491589124205,0.40674496178837577,0.2097685233497813,0.42857142857142855,0.02812500000000001,0.75,-0.014689954102866243,0.16746750612775702,0.21028225826229865
random,Random-geometric topology,110,n110_s04,110,0.42143491589124205,0.4624135524676065,0.19881708454288688,0.47058823529411764,0.03461538461538463,0.7857142857142857,0.04097863657636456,0.16433221082666782,0.20299626046257893
random,Random-geometric topology,120,n120_s00,120,0.42143491589124205,0.4553970315787098,0.21418111335992182,0.45454545454545453,0.0730769230769231,0.8235294117647058,0.03396211568746776,0.17227456673601463,0.21685703728969605
random,Random-geometric topology,120,n120_s01,120,0.42143491589124205,0.43574562739991296,0.20651973326567552,0.47058823529411764,0.0,0.7,0.014310711508670922,0.16199476568141483,0.20701496731398478
random,Random-geometric topology,120,n120_s02,120,0.42143491589124205,0.4638286831470165,0.25578890937360954,0.4494949494949495,0.0,1.0,0.042393767255774394,0.20564648652865902,0.2592782244244152
random,Random-geometric topology,120,n120_s03,120,0.42143491589124205,0.4086523901137247,0.23866690194284668,0.4,0.0,0.7536764705882351,-0.012782525777517395,0.18524725604324693,0.23900896018402595
random,Random-geometric topology,120,n120_s04,120,0.42143491589124205,0.4093446912754441,0.20949758390767556,0.4115384615384615,0.0,0.6510695187165774,-0.012090224615797975,0.1596028990767263,0.20984616078073484
random,Random-geometric topology,130,n130_s00,130,0.42143491589124205,0.40151642254153197,0.22620113810147763,0.3684210526315789,0.1,0.8607608695652174,-0.019918493349710006,0.17744616920995548,0.2270764216199608
random,Random-geometric topology,130,n130_s01,130,0.42143491589124205,0.45832172791851067,0.2414386183697015,0.45454545454545453,0.079375,1.0,0.0368868120272686,0.19101328123570832,0.2442401345843992
random,Random-geometric topology,130,n130_s02,130,0.42143491589124205,0.4134857485857335,0.17591306850313493,0.4,0.15357142857142858,0.7471428571428569,-0.007949167305508481,0.13159470469778178,0.17609258056783542
random,Random-geometric topology,130,n130_s03,130,0.42143491589124205,0.4105849383746295,0.21862522988311905,0.42857142857142855,0.0,0.7935714285714286,-0.010849977516612536,0.1693892798893105,0.21889429675886404
