node,af3_min_edge,af3_min_curvature,af3_min_normalized_score,orc_min_edge,orc_min_curvature,rank_score_af3_min,rank_score_af3_normalized,rank_score_orc_min,scenario_id,topology_seed
14,14-17,-4.0,0.25,14-17,0.04166666666666641,4.0,0.25,-0.04166666666666641,auto_011,4105262213
15,15-16,-4.0,0.25,15-16,0.04166666666666674,4.0,0.25,-0.04166666666666674,auto_011,4105262213
16,16-22,-9.0,0.6,16-22,-0.2797619047619042,9.0,0.6,0.2797619047619042,auto_011,4105262213
17,14-17,-4.0,0.25,14-17,0.04166666666666641,4.0,0.25,-0.04166666666666641,auto_011,4105262213
18,18-22,-9.0,0.6,18-22,-0.3214285714285712,9.0,0.6,0.3214285714285712,auto_011,4105262213
19,12-19,-4.0,0.3076923076923077,12-19,-0.04166666666666652,4.0,0.3076923076923077,0.04166666666666652,auto_011,4105262213
20,11-20,-5.0,0.45454545454545453,11-20,-0.2767857142857144,5.0,0.45454545454545453,0.2767857142857144,auto_011,4105262213
21,21-26,0.0,-0.0,21-26,0.07954545454545447,-0.0,-0.0,-0.07954545454545447,auto_011,4105262213
22,16-22,-9.0,0.6,18-22,-0.3214285714285712,9.0,0.6,0.3214285714285712,auto_011,4105262213
23,20-23,-1.0,0.07692307692307693,20-23,0.006944444444444642,1.0,0.07692307692307693,-0.006944444444444642,auto_011,4105262213
24,24-34,0.0,-0.0,24-34,0.0625,-0.0,-0.0,-0.0625,auto_011,4105262213
25,5-25,-12.0,0.8,5-25,-0.3511904761904763,12.0,0.8,0.3511904761904763,auto_011,4105262213
26,26-27,-6.0,0.5,26-27,-0.3125,6.0,0.5,0.3125,auto_011,4105262213
27,6-27,-7.0,0.5384615384615384,6-27,-0.35416666666666674,7.0,0.5384615384615384,0.35416666666666674,auto_011,4105262213
28,2-28,-6.0,0.5,2-28,-0.38095238095238093,6.0,0.5,0.38095238095238093,auto_011,4105262213
29,29-33,-3.0,0.16666666666666666,29-33,-0.05833333333333335,3.0,0.16666666666666666,0.05833333333333335,auto_011,4105262213
30,30-43,-7.0,0.3684210526315789,30-43,-0.17460317460317443,7.0,0.3684210526315789,0.17460317460317443,auto_011,4105262213
31,31-37,-4.0,0.21052631578947367,27-31,-0.03977272727272729,4.0,0.21052631578947367,0.03977272727272729,auto_011,4105262213
32,26-32,0.0,-0.0,26-32,0.07954545454545436,-0.0,-0.0,-0.07954545454545436,auto_011,4105262213
33,33-96,-8.0,0.5714285714285714,33-96,-0.4000000000000006,8.0,0.5714285714285714,0.4000000000000006,auto_011,4105262213
34,2-34,-10.0,0.625,2-34,-0.2828282828282829,10.0,0.625,0.2828282828282829,auto_011,4105262213
35,12-35,-8.0,0.7272727272727273,12-35,-0.3482142857142858,8.0,0.7272727272727273,0.3482142857142858,auto_011,4105262213
36,36-37,-5.0,0.29411764705882354,36-37,0.05555555555555558,5.0,0.29411764705882354,-0.05555555555555558,auto_011,4105262213
37,36-37,-5.0,0.29411764705882354,37-43,-0.13888888888888862,5.0,0.29411764705882354,0.13888888888888862,auto_011,4105262213
38,38-43,-9.0,0.5,38-43,-0.26923076923076916,9.0,0.5,0.26923076923076916,auto_011,4105262213
39,3-39,-4.0,0.25,20-39,-0.03750000000000009,4.0,0.25,0.03750000000000009,auto_011,4105262213
40,30-40,-5.0,0.25,30-40,-0.042857142857142705,5.0,0.25,0.042857142857142705,auto_011,4105262213
41,41-42,-8.0,0.5714285714285714,18-41,-0.2500000000000002,8.0,0.5714285714285714,0.2500000000000002,auto_011,4105262213
42,41-42,-8.0,0.5714285714285714,41-42,-0.2500000000000002,8.0,0.5714285714285714,0.2500000000000002,auto_011,4105262213
43,38-43,-9.0,0.5,38-43,-0.26923076923076916,9.0,0.5,0.26923076923076916,auto_011,4105262213
44,1-44,-2.0,0.18181818181818182,34-44,1.1102230246251565e-16,2.0,0.18181818181818182,-1.1102230246251565e-16,auto_011,4105262213
45,17-45,-1.0,0.0625,17-45,0.04166666666666652,1.0,0.0625,-0.04166666666666652,auto_011,4105262213
46,1-46,1.0,0.0,12-46,0.125,-1.0,0.0,-0.125,auto_011,4105262213
47,30-47,-6.0,0.3333333333333333,30-47,-0.05357142857142838,6.0,0.3333333333333333,0.05357142857142838,auto_011,4105262213
48,1-48,1.0,0.0,12-48,0.125,-1.0,0.0,-0.125,auto_011,4105262213
49,17-49,-1.0,0.0625,17-49,0.04166666666666652,1.0,0.0625,-0.04166666666666652,auto_011,4105262213
50,50-76,-9.0,0.42857142857142855,50-76,-0.04861111111111116,9.0,0.42857142857142855,0.04861111111111116,auto_011,4105262213
51,51-84,-14.0,0.6086956521739131,51-84,-0.21428571428571375,14.0,0.6086956521739131,0.21428571428571375,auto_011,4105262213
52,52-56,-8.0,0.47058823529411764,52-56,-0.22596153846153832,8.0,0.47058823529411764,0.22596153846153832,auto_011,4105262213
53,53-56,-7.0,0.3181818181818182,53-56,-0.07692307692307665,7.0,0.3181818181818182,0.07692307692307665,auto_011,4105262213
54,54-93,-5.0,0.29411764705882354,54-93,0.0625,5.0,0.29411764705882354,-0.0625,auto_011,4105262213
55,55-84,-2.0,0.14285714285714285,55-84,0.13846153846153852,2.0,0.14285714285714285,-0.13846153846153852,auto_011,4105262213
56,56-84,-10.0,0.45454545454545453,52-56,-0.22596153846153832,10.0,0.45454545454545453,0.22596153846153832,auto_011,4105262213
57,57-84,-13.0,0.6842105263157895,57-84,-0.2384615384615385,13.0,0.6842105263157895,0.2384615384615385,auto_011,4105262213
58,58-67,-12.0,0.6666666666666666,58-67,-0.11965811965811923,12.0,0.6666666666666666,0.11965811965811923,auto_011,4105262213
59,59-67,-8.0,0.4,59-67,-0.04895104895104874,8.0,0.4,0.04895104895104874,auto_011,4105262213
60,60-82,-9.0,0.42857142857142855,60-65,-0.1868131868131866,9.0,0.42857142857142855,0.1868131868131866,auto_011,4105262213
61,61-84,-13.0,0.5909090909090909,61-84,-0.23076923076923106,13.0,0.5909090909090909,0.23076923076923106,auto_011,4105262213
62,62-80,-8.0,0.3076923076923077,62-80,0.03167420814479638,8.0,0.3076923076923077,-0.03167420814479638,auto_011,4105262213
63,63-71,-4.0,0.3076923076923077,63-72,-0.005555555555555536,4.0,0.3076923076923077,0.005555555555555536,auto_011,4105262213
64,64-79,-3.0,0.25,64-81,0.16666666666666674,3.0,0.25,-0.16666666666666674,auto_011,4105262213
65,60-65,-7.0,0.4375,65-73,-0.18681318681318682,7.0,0.4375,0.18681318681318682,auto_011,4105262213
66,66-85,-7.0,0.5384615384615384,66-85,-0.18750000000000022,7.0,0.5384615384615384,0.18750000000000022,auto_011,4105262213
67,58-67,-12.0,0.6666666666666666,58-67,-0.11965811965811923,12.0,0.6666666666666666,0.11965811965811923,auto_011,4105262213
68,68-72,-4.0,0.18181818181818182,68-83,0.03749999999999998,4.0,0.18181818181818182,-0.03749999999999998,auto_011,4105262213
69,69-99,-10.0,0.45454545454545453,69-99,-0.031249999999999778,10.0,0.45454545454545453,0.031249999999999778,auto_011,4105262213
70,70-80,-4.0,0.18181818181818182,70-89,0.059523809523809645,4.0,0.18181818181818182,-0.059523809523809645,auto_011,4105262213
71,63-71,-4.0,0.3076923076923077,63-71,0.0357142857142857,4.0,0.3076923076923077,-0.0357142857142857,auto_011,4105262213
72,51-72,-13.0,0.4642857142857143,51-72,-0.19047619047619047,13.0,0.4642857142857143,0.19047619047619047,auto_011,4105262213
73,73-82,-9.0,0.42857142857142855,65-73,-0.18681318681318682,9.0,0.42857142857142855,0.18681318681318682,auto_011,4105262213
74,60-74,2.0,0.0,60-74,0.3076923076923076,-2.0,0.0,-0.3076923076923076,auto_011,4105262213
75,75-82,-9.0,0.5,75-82,-0.11666666666666647,9.0,0.5,0.11666666666666647,auto_011,4105262213
76,50-76,-9.0,0.42857142857142855,76-94,-0.11616161616161591,9.0,0.42857142857142855,0.11616161616161591,auto_011,4105262213
77,72-77,-5.0,0.25,77-90,0.00757575757575768,5.0,0.25,-0.00757575757575768,auto_011,4105262213
78,78-87,-6.0,0.5,78-87,-0.1875,6.0,0.5,0.1875,auto_011,4105262213
79,53-79,-6.0,0.2857142857142857,66-79,-0.08333333333333348,6.0,0.2857142857142857,0.08333333333333348,auto_011,4105262213
80,80-82,-13.0,0.52,80-82,-0.18137254901960742,13.0,0.52,0.18137254901960742,auto_011,4105262213
81,76-81,-5.0,0.29411764705882354,76-81,-0.01388888888888884,5.0,0.29411764705882354,0.01388888888888884,auto_011,4105262213
82,80-82,-13.0,0.52,80-82,-0.18137254901960742,13.0,0.52,0.18137254901960742,auto_011,4105262213
83,68-83,-3.0,0.3333333333333333,68-83,0.03749999999999998,3.0,0.3333333333333333,-0.03749999999999998,auto_011,4105262213
84,51-84,-14.0,0.6086956521739131,57-84,-0.2384615384615385,14.0,0.6086956521739131,0.2384615384615385,auto_011,4105262213
85,66-85,-7.0,0.5384615384615384,66-85,-0.18750000000000022,7.0,0.5384615384615384,0.18750000000000022,auto_011,4105262213
86,81-86,-2.0,0.14285714285714285,81-86,0.16666666666666685,2.0,0.14285714285714285,-0.16666666666666685,auto_011,4105262213
87,78-87,-6.0,0.5,78-87,-0.1875,6.0,0.5,0.1875,auto_011,4105262213
88,79-88,-3.0,0.2,79-88,0.00595238095238082,3.0,0.2,-0.00595238095238082,auto_011,4105262213
89,82-89,-10.0,0.45454545454545453,89-92,-0.22321428571428537,10.0,0.45454545454545453,0.22321428571428537,auto_011,4105262213
90,77-90,-4.0,0.3076923076923077,77-90,0.00757575757575768,4.0,0.3076923076923077,-0.00757575757575768,auto_011,4105262213
91,89-91,-3.0,0.14285714285714285,89-91,0.0746753246753249,3.0,0.14285714285714285,-0.0746753246753249,auto_011,4105262213
92,2-92,-10.0,0.7692307692307693,2-92,-0.4583333333333328,10.0,0.7692307692307693,0.4583333333333328,auto_011,4105262213
93,92-93,-8.0,0.47058823529411764,92-93,-0.23076923076923084,8.0,0.47058823529411764,0.23076923076923084,auto_011,4105262213
94,72-94,-10.0,0.4,72-94,-0.13636363636363624,10.0,0.4,0.13636363636363624,auto_011,4105262213
95,50-95,-4.0,0.18181818181818182,79-95,0.016666666666666607,4.0,0.18181818181818182,-0.016666666666666607,auto_011,4105262213
96,89-96,-9.0,0.5,33-96,-0.4000000000000006,9.0,0.5,0.4000000000000006,auto_011,4105262213
97,33-97,-8.0,0.5714285714285714,33-97,-0.40000000000000036,8.0,0.5714285714285714,0.40000000000000036,auto_011,4105262213
98,72-98,-10.0,0.35714285714285715,72-98,-0.15476190476190443,10.0,0.35714285714285715,0.15476190476190443,auto_011,4105262213
99,69-99,-10.0,0.45454545454545453,61-99,-0.03125,10.0,0.45454545454545453,0.03125,auto_011,4105262213
0,0-25,-2.0,0.11764705882352941,0-25,0.11111111111111116,2.0,0.11764705882352941,-0.11111111111111116,auto_012,3795418862
1,1-9,0.0,-0.0,1-9,0.05555555555555569,-0.0,-0.0,-0.05555555555555569,auto_012,3795418862
2,2-3,-8.0,0.47058823529411764,2-3,-0.18181818181818166,8.0,0.47058823529411764,0.18181818181818166,auto_012,3795418862
3,2-3,-8.0,0.47058823529411764,3-35,-0.1863636363636365,8.0,0.47058823529411764,0.1863636363636365,auto_012,3795418862
4,3-4,-7.0,0.4375,3-4,-0.1262626262626263,7.0,0.4375,0.1262626262626263,auto_012,3795418862
5,5-41,-7.0,0.5384615384615384,5-41,-0.2428571428571431,7.0,0.5384615384615384,0.2428571428571431,auto_012,3795418862
6,6-18,-4.0,0.4,6-45,-0.20833333333333326,4.0,0.4,0.20833333333333326,auto_012,3795418862
7,7-38,-5.0,0.45454545454545453,7-38,-0.19444444444444442,5.0,0.45454545454545453,0.19444444444444442,auto_012,3795418862
8,8-46,-9.0,1.0,8-46,-0.6388888888888891,9.0,1.0,0.6388888888888891,auto_012,3795418862
9,9-48,-8.0,0.4,9-48,-0.2832167832167831,8.0,0.4,0.2832167832167831,auto_012,3795418862
10,10-20,-2.0,0.18181818181818182,10-20,0.13888888888888884,2.0,0.18181818181818182,-0.13888888888888884,auto_012,3795418862
11,11-31,-2.0,0.25,11-31,0.125,2.0,0.25,-0.125,auto_012,3795418862
12,12-48,-5.0,0.29411764705882354,12-48,-0.1499999999999999,5.0,0.29411764705882354,0.1499999999999999,auto_012,3795418862
13,1-13,0.0,-0.0,13-46,0.26388888888888884,-0.0,-0.0,-0.26388888888888884,auto_012,3795418862
14,14-29,-2.0,0.14285714285714285,14-29,0.07499999999999996,2.0,0.14285714285714285,-0.07499999999999996,auto_012,3795418862
15,15-19,-4.0,0.21052631578947367,15-19,-0.07692307692307665,4.0,0.21052631578947367,0.07692307692307665,auto_012,3795418862
16,16-40,-5.0,0.45454545454545453,16-40,0.04999999999999971,5.0,0.45454545454545453,-0.04999999999999971,auto_012,3795418862
17,17-71,-8.0,0.7272727272727273,17-71,-0.41666666666666674,8.0,0.7272727272727273,0.41666666666666674,auto_012,3795418862
18,6-18,-4.0,0.4,6-18,-0.16666666666666652,4.0,0.4,0.16666666666666652,auto_012,3795418862
19,19-48,-8.0,0.4,19-48,-0.2692307692307694,8.0,0.4,0.2692307692307694,auto_012,3795418862
20,20-35,-3.0,0.2,20-35,-0.10555555555555585,3.0,0.2,0.10555555555555585,auto_012,3795418862
21,21-24,-4.0,0.3076923076923077,21-38,-0.16666666666666674,4.0,0.3076923076923077,0.16666666666666674,auto_012,3795418862
22,22-47,-5.0,0.25,22-47,-0.10839160839160833,5.0,0.25,0.10839160839160833,auto_012,3795418862
23,23-41,-7.0,0.4375,23-41,-0.15000000000000036,7.0,0.4375,0.15000000000000036,auto_012,3795418862
24,9-24,-6.0,0.3333333333333333,9-24,-0.1666666666666663,6.0,0.3333333333333333,0.1666666666666663,auto_012,3795418862
25,25-48,-10.0,0.5263157894736842,25-48,-0.2992424242424241,10.0,0.5263157894736842,0.2992424242424241,auto_012,3795418862
26,26-35,-4.0,0.25,26-35,-0.15000000000000013,4.0,0.25,0.15000000000000013,auto_012,3795418862
27,9-27,-6.0,0.3333333333333333,9-27,-0.1666666666666663,6.0,0.3333333333333333,0.1666666666666663,auto_012,3795418862
28,28-47,-5.0,0.25,28-47,-0.10839160839160811,5.0,0.25,0.10839160839160811,auto_012,3795418862
29,29-37,-4.0,0.25,29-37,-2.220446049250313e-16,4.0,0.25,2.220446049250313e-16,auto_012,3795418862
30,30-41,-8.0,0.7272727272727273,6-30,-0.08333333333333348,8.0,0.7272727272727273,0.08333333333333348,auto_012,3795418862
31,11-31,-2.0,0.25,11-31,0.125,2.0,0.25,-0.125,auto_012,3795418862
32,2-32,-8.0,0.47058823529411764,32-35,-0.1863636363636365,8.0,0.47058823529411764,0.1863636363636365,auto_012,3795418862
