scenario_id,node,method,rank,score
auto_000,9,af3_normalized,78.0,0.16666666666666666
auto_000,10,af3_normalized,75.0,0.18181818181818182
auto_000,11,af3_normalized,34.5,0.4
auto_000,12,af3_normalized,63.0,0.2857142857142857
auto_000,13,af3_normalized,15.0,0.5714285714285714
auto_000,14,af3_normalized,20.0,0.55
auto_000,15,af3_normalized,23.5,0.5384615384615384
auto_000,16,af3_normalized,65.0,0.28
auto_000,17,af3_normalized,46.5,0.35714285714285715
auto_000,18,af3_normalized,52.5,0.3333333333333333
auto_000,19,af3_normalized,34.5,0.4
auto_000,20,af3_normalized,78.0,0.16666666666666666
auto_000,21,af3_normalized,73.0,0.2
auto_000,22,af3_normalized,34.5,0.4
auto_000,23,af3_normalized,15.0,0.5714285714285714
auto_000,24,af3_normalized,96.5,0.0
auto_000,25,af3_normalized,84.0,0.11764705882352941
auto_000,26,af3_normalized,96.5,-0.0
auto_000,27,af3_normalized,20.0,0.55
auto_000,28,af3_normalized,20.0,0.55
auto_000,29,af3_normalized,85.0,0.1
auto_000,30,af3_normalized,78.0,0.16666666666666666
auto_000,31,af3_normalized,67.5,0.25
auto_000,32,af3_normalized,34.5,0.4
auto_000,33,af3_normalized,82.0,0.14285714285714285
auto_000,34,af3_normalized,9.5,0.625
auto_000,35,af3_normalized,63.0,0.2857142857142857
auto_000,36,af3_normalized,27.0,0.5
auto_000,37,af3_normalized,9.5,0.625
auto_000,38,af3_normalized,42.0,0.375
auto_000,39,af3_normalized,11.5,0.6
auto_000,40,af3_normalized,11.5,0.6
auto_000,41,af3_normalized,34.5,0.4
auto_000,42,af3_normalized,78.0,0.16666666666666666
auto_000,43,af3_normalized,23.5,0.5384615384615384
auto_000,44,af3_normalized,42.0,0.375
auto_000,45,af3_normalized,34.5,0.4
auto_000,46,af3_normalized,20.0,0.55
auto_000,47,af3_normalized,25.0,0.5263157894736842
auto_000,48,af3_normalized,15.0,0.5714285714285714
auto_000,49,af3_normalized,71.5,0.21052631578947367
auto_000,50,af3_normalized,78.0,0.16666666666666666
auto_000,51,af3_normalized,91.0,0.045454545454545456
auto_000,52,af3_normalized,82.0,0.14285714285714285
auto_000,53,af3_normalized,56.0,0.3181818181818182
auto_000,54,af3_normalized,42.0,0.375
auto_000,55,af3_normalized,70.0,0.21739130434782608
auto_000,56,af3_normalized,1.5,0.7692307692307693
auto_000,57,af3_normalized,96.5,0.0
auto_000,58,af3_normalized,91.0,0.045454545454545456
auto_000,59,af3_normalized,56.0,0.3181818181818182
auto_000,60,af3_normalized,82.0,0.14285714285714285
auto_000,61,af3_normalized,49.0,0.34782608695652173
auto_000,62,af3_normalized,34.5,0.4
auto_000,63,af3_normalized,45.0,0.3684210526315789
auto_000,64,af3_normalized,7.5,0.6842105263157895
auto_000,65,af3_normalized,34.5,0.4
auto_000,66,af3_normalized,49.0,0.34782608695652173
auto_000,67,af3_normalized,96.5,-0.0
auto_000,68,af3_normalized,56.0,0.3181818181818182
auto_000,69,af3_normalized,87.0,0.0625
auto_000,70,af3_normalized,3.5,0.7391304347826086
auto_000,71,af3_normalized,42.0,0.375
auto_000,72,af3_normalized,87.0,0.0625
auto_000,73,af3_normalized,46.5,0.35714285714285715
auto_000,74,af3_normalized,89.0,0.05263157894736842
auto_000,75,af3_normalized,5.5,0.7
auto_000,76,af3_normalized,27.0,0.5
auto_000,77,af3_normalized,27.0,0.5
auto_000,78,af3_normalized,1.5,0.7692307692307693
auto_000,79,af3_normalized,67.5,0.25
auto_000,80,af3_normalized,96.5,0.0
auto_000,81,af3_normalized,34.5,0.4
auto_000,82,af3_normalized,3.5,0.7391304347826086
auto_000,83,af3_normalized,52.5,0.3333333333333333
auto_000,84,af3_normalized,20.0,0.55
auto_000,85,af3_normalized,91.0,0.045454545454545456
auto_000,86,af3_normalized,87.0,0.0625
auto_000,87,af3_normalized,5.5,0.7
auto_000,88,af3_normalized,60.5,0.29411764705882354
auto_000,89,af3_normalized,7.5,0.6842105263157895
auto_000,90,af3_normalized,96.5,-0.0
auto_000,91,af3_normalized,52.5,0.3333333333333333
auto_000,92,af3_normalized,52.5,0.3333333333333333
auto_000,93,af3_normalized,96.5,-0.0
auto_000,94,af3_normalized,96.5,0.0
auto_000,95,af3_normalized,71.5,0.21052631578947367
auto_000,96,af3_normalized,34.5,0.4
auto_000,97,af3_normalized,67.5,0.25
auto_000,98,af3_normalized,49.0,0.34782608695652173
auto_000,99,af3_normalized,29.0,0.42857142857142855
auto_000,0,orc_min,56.5,0.11111111111111116
auto_000,1,orc_min,55.0,0.11794871794871775
auto_000,2,orc_min,53.0,0.12499999999999978
auto_000,3,orc_min,9.5,0.3076923076923077
auto_000,4,orc_min,54.0,0.1217948717948718
auto_000,5,orc_min,35.5,0.1634615384615381
auto_000,6,orc_min,60.0,0.0972222222222221
auto_000,7,orc_min,79.0,-0.05844155844155874
auto_000,8,orc_min,9.5,0.3076923076923077
auto_000,9,orc_min,75.0,-0.021367521367521514
auto_000,10,orc_min,78.0,-0.04999999999999982
auto_000,11,orc_min,24.0,0.19999999999999996
