topology,topology_label,node_count,model,policy,n_scenarios,mean_vaoi,std_vaoi,ci95_vaoi,mean_actual_tx_ratio,std_actual_tx_ratio,ci95_actual_tx_ratio,mean_action_probability,std_action_probability,ci95_action_probability
community,Community topology,130,curvature,matched_random,5,7.634333512224211,0.35537446190379557,0.3114994500794441,0.11006923076923077,0.003080454704005874,0.002700137598948322,0.11062827706336975,0.0027280954982775545,0.0023912811374378305
community,Community topology,130,curvature,nn,5,6.002611568276685,0.2249081308251374,0.19714066873322983,0.11143846153846153,0.002829159241158812,0.0024798674139019073,0.11062828302383423,0.002728103512145206,0.0023912881619025405
community,Community topology,130,no_curvature,nn,5,6.022062552176506,0.44485896890300364,0.38993607878809183,0.12855384615384616,0.001315193418403025,0.0011528178597469188,0.12833122611045839,0.001213494469807559,0.001063674800925429
community,Community topology,140,curvature,matched_random,5,7.836035919835561,0.4344204851521639,0.3807863443625212,0.10975000000000001,0.0038067977597547086,0.003336805358422933,0.11021227687597275,0.0020135871608730612,0.0017649869659705241
community,Community topology,140,curvature,nn,5,6.180781808838644,0.5941404496089183,0.5207870659350692,0.11010714285714285,0.0013866620470226589,0.0012154628747929766,0.1102122813463211,0.0020135808035564875,0.001764981393536855
community,Community topology,140,no_curvature,nn,5,6.7154094552929084,0.7439285448065605,0.6520821202632672,0.1277285714285714,0.001272902436263247,0.0011157481794742076,0.12845649123191832,0.0011073188415709064,0.0009706077593873958
community,Community topology,150,curvature,matched_random,5,8.472887427293065,0.2811572842565068,0.24644522558697804,0.10943333333333334,0.002747423035015422,0.0024082224703433613,0.10885200947523117,0.002434674866702857,0.0021340866139826684
community,Community topology,150,curvature,nn,5,6.608326621923934,0.29775133595195424,0.2609905532113391,0.10835999999999998,0.0014343794631980935,0.0012572890342143132,0.10885202139616013,0.0024346736538750067,0.002134085550892185
community,Community topology,150,no_curvature,nn,5,6.92369995525727,0.3206401674415925,0.2810534986007957,0.1272066666666667,0.001392918598562822,0.0012209469840160027,0.12787978053092958,0.0005646042809314462,0.00049489747259964
random,Random-geometric topology,50,curvature,matched_random,5,4.487525714285714,0.24805617967905635,0.21743082816049858,0.11061999999999998,0.006739955489467275,0.0059078314667905035,0.11270770281553269,0.006449238669216433,0.005653006938455383
random,Random-geometric topology,50,curvature,nn,5,3.5625657142857134,0.12766049275583377,0.1118993556185202,0.11256,0.005335541209661863,0.00467680807388971,0.1127076968550682,0.006449242646506986,0.005653010424704264
random,Random-geometric topology,50,no_curvature,nn,5,3.4817612244897957,0.23046800923765093,0.20201411703541927,0.12891999999999998,0.0029422780290108575,0.002579020403176371,0.12862154245376586,0.0016184302285292753,0.0014186166430701357
random,Random-geometric topology,60,curvature,matched_random,5,4.6772813559322035,0.24630080845647576,0.21589217744375924,0.11451666666666667,0.004102167448773603,0.003595708306053507,0.11368899643421174,0.004487291719360344,0.0039332846131897616
random,Random-geometric topology,60,curvature,nn,5,3.7790649717514113,0.2744839880446511,0.24059582355320708,0.11336666666666666,0.00484072710332744,0.0042430843865177955,0.1136889860033989,0.004487289510962473,0.003933282677443679
random,Random-geometric topology,60,no_curvature,nn,5,3.656219491525423,0.28762745224326797,0.2521165778811204,0.12853333333333333,0.0033991420486156033,0.002979479372865894,0.12840755879878998,0.0018710944304900913,0.001640086580847663
random,Random-geometric topology,70,curvature,matched_random,5,4.893596273291924,0.2466780745555777,0.21622286575989288,0.11429999999999998,0.001056322075188531,0.000925907122772038,0.11498679071664811,0.00219456536292252,0.0019236213543640105
