node,x,y,label,node_curvature,absolute_node_curvature,curvature_rank_desc,absolute_curvature_rank_desc,degree,betweenness
42,86.18472862532239,188.5896604127597,0,0.15385586635586637,0.15385586635586637,67,68,15,0.028136417494907213
43,90.49644959904487,116.34208370375462,0,0.23092324342324355,0.23092324342324355,34,34,12,0.009315563006056527
44,110.16955516789895,225.09460949353428,0,0.09012336869479724,0.09012336869479724,79,83,7,0.0020589625766993486
45,158.42184885059862,111.15547058664643,0,0.19305555555555556,0.19305555555555556,51,51,6,0.028749656902392947
46,87.82631625871275,184.20126721936495,0,0.1538558663558664,0.1538558663558664,66,67,15,0.028136417494907213
47,146.54587165226218,174.07189495268074,0,0.13382365497750115,0.13382365497750115,71,72,13,0.13398132367301444
48,80.33741486577541,81.11776317750305,0,0.29465118215118224,0.29465118215118224,11,11,6,6.699649556792413e-05
49,128.15639145957778,188.22712045443944,0,0.08467719149537334,0.08467719149537334,81,85,11,0.020896251038891096
50,231.4866211407209,205.70830942978327,1,0.31736111111111104,0.31736111111111104,8,8,6,0.0027647711321180687
51,258.6002045067513,87.2134614891462,1,0.2806637806637806,0.2806637806637806,14,14,6,0.00031950287052327867
52,310.40747912080934,147.40347834598705,1,0.2753628533775593,0.2753628533775593,16,16,15,0.015920231746496337
53,310.1769987317638,87.17867223275047,1,0.359375,0.359375,5,5,4,0.0
54,290.41920930404723,169.81283224052157,1,0.23140914235510796,0.23140914235510796,32,32,16,0.013447032981656445
55,309.02233538905807,90.06075972803495,1,0.359375,0.359375,6,6,4,0.0
56,276.4544804478445,158.9347183462192,1,0.13877443371686793,0.13877443371686793,68,69,16,0.146810742255811
57,204.13253434168516,162.48995018952715,1,-0.03142857142857149,0.03142857142857149,94,94,5,0.22122145155579545
58,285.54078715680834,188.27074102522863,1,0.18530618686868688,0.18530618686868688,54,55,8,0.0011040521517439554
59,306.7429017646613,166.35205485976257,1,0.24316689204137612,0.24316689204137612,27,27,18,0.01267740141521035
60,329.15920808083285,159.43482523025423,1,0.24608514847857554,0.24608514847857554,26,26,13,0.005578256440828534
61,205.7254716836544,151.62535575511376,1,-0.049404761904761875,0.049404761904761875,96,89,6,0.3053026187180238
62,295.8450103386648,146.46450666360815,1,0.2710564789241261,0.2710564789241261,18,18,15,0.038697430566224794
63,314.63292112754914,103.74941617034149,1,-0.0055555555555556095,0.0055555555555556095,92,100,6,0.01828819536825354
64,212.9595754942374,158.06965448983854,1,0.13447420634920637,0.13447420634920637,70,71,8,0.0964328716135037
65,235.4857917187316,190.79255986561577,1,0.26059027777777777,0.26059027777777777,22,22,8,0.009639969795547173
66,299.42727669718226,96.84613274849636,1,0.17866161616161624,0.17866161616161624,55,56,6,0.0015779257275855914
67,291.06888457297794,139.48400113277995,1,0.22847298608438596,0.22847298608438596,36,36,14,0.02237544322067703
68,251.91366439412553,110.37445294972768,1,0.19102182539682538,0.19102182539682538,53,53,8,0.02722255857253995
69,325.1668313631912,157.67527093301862,1,0.22799320271889023,0.22799320271889023,37,37,17,0.02115006080902807
70,227.4060744872906,156.70332600469936,1,0.13447420634920643,0.13447420634920643,69,70,8,0.0964328716135037
71,349.90427245442584,165.86930020564085,1,0.27651214078748915,0.27651214078748915,15,15,8,0.00042803581002545297
