model,model_label,panel,slot,node,node_min_curvature,broadcast_probability
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,33,-7.0,0.09696179288625717
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,34,-5.0,0.12078613042831421
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,34,-5.0,0.10563083356618881
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,35,3.0,0.08465451002120972
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,35,3.0,0.09890266782045365
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,36,-4.0,0.11454573273658752
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,36,-4.0,0.10033433669805526
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,37,-11.0,0.07570850849151611
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,37,-11.0,0.10015961617231368
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,38,-5.0,0.07561719417572021
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,38,-5.0,0.09818268448114395
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,39,-7.0,0.11742094159126282
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,39,-7.0,0.09867140412330627
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,40,-5.0,0.09594953060150146
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,40,-5.0,0.10210880315303802
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,41,-5.0,0.09058624505996704
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,41,-5.0,0.1010120210647583
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,42,-11.0,0.06785151362419128
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,42,-11.0,0.09766376435756684
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,43,-19.0,0.12103307247161865
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,43,-19.0,0.10343771862983704
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,44,3.0,0.08182856440544128
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,44,3.0,0.0994885836839676
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,45,-2.0,0.09233051538467407
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,45,-2.0,0.10240061002969741
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,46,-7.0,0.07514065504074097
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,46,-7.0,0.09891548627614975
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,47,-14.0,0.13760823011398315
v35_no_curvature_stage2,No-curvature Stage-2,mean_500_slots,all,47,-14.0,0.1038021770119667
v35_no_curvature_stage2,No-curvature Stage-2,random_slot,246,48,-6.0,0.07196691632270813
