checkpoint_episode,scenario_id,policy,n_nodes,slots,update_probability,target_tx_ratio,matched_rate_probability,policy_probability,mean_VAoI,actual_tx_ratio,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std,topology,model,model_label,node_count
490,n150_s02,nn,150,200,0.2,0.1,0.09794532507658005,0.09794532507658005,6.995628187919462,0.09916666666666667,0.09794532507658005,0.03651569411158562,0.035258322954177856,0.0542701780796051,0.09335102140903473,0.14697372615337376,0.24706226587295532,0.03614223375916481,0.03651569411158562,0.01651989296078682,community,single_n_v3_3,V3.3 single-N MPNN,150
490,n150_s03,nn,150,200,0.2,0.1,0.10112309455871582,0.10112309455871582,7.156279642058163,0.0985,0.10112309455871582,0.03825301304459572,0.0355047881603241,0.05549525916576386,0.09525229036808014,0.15616661608219148,0.24789434671401978,0.037861861288547516,0.03825301304459572,0.017686378210783005,community,single_n_v3_3,V3.3 single-N MPNN,150
490,n150_s04,nn,150,200,0.2,0.1,0.09669293463230133,0.09669293463230133,7.447807382550335,0.09936666666666666,0.09669293463230133,0.036065828055143356,0.03558129072189331,0.0532417681068182,0.09273026883602142,0.146210016310215,0.24459853768348694,0.03569687530398369,0.036065828055143356,0.015308848582208157,community,single_n_v3_3,V3.3 single-N MPNN,150
990,n050_s00,nn,50,200,0.2,0.1,0.08696623891592026,0.08696623891592026,5.081563265306125,0.0848,0.08696623891592026,0.03576065972447395,0.0272790789604187,0.04384987950325012,0.08379679918289185,0.1344116032123566,0.2423749566078186,0.035199981182813644,0.03576065972447395,0.01876598224043846,community,cross_n_v3_3,V3.3 cross-N MPNN,50
990,n050_s01,nn,50,200,0.2,0.1,0.09084389358758926,0.09084389358758926,4.413612244897957,0.0929,0.09084389358758926,0.040034957230091095,0.028381794691085815,0.0452709972858429,0.08524678647518158,0.13986459970474244,0.3125716745853424,0.03941056504845619,0.040034957230091095,0.022113701328635216,community,cross_n_v3_3,V3.3 cross-N MPNN,50
990,n050_s02,nn,50,200,0.2,0.1,0.09015257656574249,0.09015257656574249,5.045159183673469,0.0925,0.09015257656574249,0.03787047788500786,0.027468949556350708,0.04637681841850281,0.08530229330062866,0.1431255638599396,0.25470083951950073,0.03717181831598282,0.03787047788500786,0.019540073350071907,community,cross_n_v3_3,V3.3 cross-N MPNN,50
990,n050_s03,nn,50,200,0.2,0.1,0.09420040994882584,0.09420040994882584,4.157489795918368,0.0958,0.09420040994882584,0.04190677031874657,0.02838727831840515,0.04703241586685181,0.08786296844482422,0.14810287058353425,0.3088037967681885,0.04127960279583931,0.04190677031874657,0.02441551722586155,community,cross_n_v3_3,V3.3 cross-N MPNN,50
990,n050_s04,nn,50,200,0.2,0.1,0.09599609673023224,0.09599609673023224,4.58688775510204,0.0913,0.09599609673023224,0.040986593812704086,0.027841120958328247,0.0489708662033081,0.09050387144088745,0.15296335220336915,0.3107120990753174,0.04031793773174286,0.040986593812704086,0.02227681316435337,community,cross_n_v3_3,V3.3 cross-N MPNN,50
990,n060_s00,nn,60,200,0.2,0.1,0.08887578547000885,0.08887578547000885,5.088539548022599,0.09133333333333334,0.08887578547000885,0.04029259830713272,0.027196556329727173,0.04379598796367645,0.08404897153377533,0.137396377325058,0.30552923679351807,0.03977794945240021,0.04029259830713272,0.024095233529806137,community,cross_n_v3_3,V3.3 cross-N MPNN,60
990,n060_s01,nn,60,200,0.2,0.1,0.08863824605941772,0.08863824605941772,5.409040960451978,0.08825,0.08863824605941772,0.03776191174983978,0.027208060026168823,0.04480546712875366,0.08417989313602448,0.13882540166378024,0.2611813247203827,0.03719388321042061,0.03776191174983978,0.01997227594256401,community,cross_n_v3_3,V3.3 cross-N MPNN,60
990,n060_s02,nn,60,200,0.2,0.1,0.09054064750671387,0.09054064750671387,5.336439265536724,0.091,0.09054064750671387,0.03771462291479111,0.027995288372039795,0.0466513603925705,0.08453960716724396,0.14111152291297913,0.28634732961654663,0.03707890212535858,0.03771462291479111,0.01944212056696415,community,cross_n_v3_3,V3.3 cross-N MPNN,60
990,n060_s03,nn,60,200,0.2,0.1,0.09804782271385193,0.09804782271385193,5.252370056497178,0.09333333333333332,0.09804782271385193,0.04643898457288742,0.027525661513209343,0.04671657085418701,0.08956959843635559,0.16179712116718292,0.31629514694213867,0.045822858810424805,0.04643898457288742,0.030108092352747917,community,cross_n_v3_3,V3.3 cross-N MPNN,60
990,n060_s04,nn,60,200,0.2,0.1,0.09989402443170547,0.09989402443170547,4.760224576271187,0.10191666666666667,0.09989402443170547,0.0451856404542923,0.028740882873535156,0.04963469207286835,0.09327015653252602,0.15767680108547213,0.3166514039039612,0.04452640190720558,0.0451856404542923,0.027160126715898514,community,cross_n_v3_3,V3.3 cross-N MPNN,60
990,n070_s00,nn,70,200,0.2,0.1,0.09426077455282211,0.09426077455282211,5.049619047619047,0.09642857142857143,0.09426077455282211,0.04468756541609764,0.027072101831436157,0.04325467050075531,0.0880894809961319,0.154460446536541,0.313679039478302,0.04427441582083702,0.04468756541609764,0.02985902689397335,community,cross_n_v3_3,V3.3 cross-N MPNN,70
990,n070_s01,nn,70,200,0.2,0.1,0.09537609666585922,0.09537609666585922,5.143489648033125,0.09478571428571428,0.09537609666585922,0.04006525129079819,0.02841925621032715,0.04962854385375977,0.08919893205165863,0.14861838519573212,0.30179595947265625,0.03955967351794243,0.04006525129079819,0.020576460286974907,community,cross_n_v3_3,V3.3 cross-N MPNN,70
990,n070_s02,nn,70,200,0.2,0.1,0.09230179339647293,0.09230179339647293,5.952875776397515,0.0905,0.09230179339647293,0.0402892604470253,0.027394041419029236,0.046098917722702026,0.0854465663433075,0.15264546871185303,0.2519131302833557,0.03978176414966583,0.0402892604470253,0.023087911307811737,community,cross_n_v3_3,V3.3 cross-N MPNN,70
990,n070_s03,nn,70,200,0.2,0.1,0.09387928992509842,0.09387928992509842,4.663568322981368,0.09164285714285714,0.09387928992509842,0.0381946861743927,0.028270095586776733,0.04927716255187988,0.08808261156082153,0.14634509682655333,0.23403215408325195,0.037744492292404175,0.0381946861743927,0.017808981239795685,community,cross_n_v3_3,V3.3 cross-N MPNN,70
